L,Teff,R,mass,logg,isWR,mass_current,phase,m_hst_f127m,m_hst_f139m,m_hst_f153m
2.023098599431755e+32,15586.637045671574,69357457373.20741,39.92898156276802,1.9970586093591534,False,34.87322821142718,2.0,2.0673764305511444,2.0963196499471963,2.098599909781568
2.0234001140577393e+32,15454.917210203663,70549997541.13109,39.92931703693494,1.9820995269984811,False,34.8731696474422,2.0,2.04155407677785,2.070267986534342,2.0723071292014743
2.0237071199807622e+32,15324.32945809135,71762961532.32663,39.92963959217884,1.967141061709242,False,34.873110874268086,2.0,2.0157531036408036,2.0442349822122816,2.0460302523330443
2.0241010640458362e+32,15194.807102525594,72998712125.27957,39.929997654728616,1.9521849675952887,False,34.87306480943412,2.0,1.98991878634043,2.018165767877064,2.019714262194573
2.0244946625119552e+32,15067.543166672926,74244265164.0884,39.93034577695997,1.9372294432561197,False,34.87301933682063,2.0,1.964338641478769,1.9923500620124521,1.9936511928882417
2.0248749684389047e+32,14942.949165858365,75494610976.74124,39.93068085727202,1.9222743693604025,False,34.872972874867386,2.0,1.9389415780384898,1.966729610643405,1.9677905303251386
2.0253151520152154e+32,14819.375368969204,76767251588.84206,39.93102656480667,1.9073165310824174,False,34.872932198119805,2.0,1.9133293094862631,1.9409055447512806,1.9417316543793846
2.025769337419642e+32,14696.810682679521,78061749569.67259,39.93137328135318,1.89236062307408,False,34.872894641554765,2.0,1.8877234792278392,1.9150855084657097,1.9156742358482262
2.0262493072450328e+32,14575.245095009224,79378738077.80309,39.93172406081782,1.877402648302692,False,34.872860759033415,2.0,1.8621175807876031,1.8892629581187603,1.8896116931413018
2.026723142608034e+32,14454.65343376731,80718174268.47949,39.93205437216183,1.8624373573089108,False,34.872823433111996,2.0,1.8365253046611438,1.8634515182005529,1.8635575810325846
2.027222943482929e+32,14335.012432305712,82081274702.96451,39.93239289821185,1.8474636376639149,False,34.872790838646374,2.0,1.8109263215228524,1.8376307937127703,1.8374914353357084
2.027815767056104e+32,14216.383074951873,83469054998.94003,39.932765015457555,1.8324978945526544,False,34.87277107112576,2.0,1.7852995345943925,1.8117797799138624,1.8113923567214971
2.0283131030787238e+32,14098.729037267283,84878374541.99858,39.933091748369634,1.8175275060334632,False,34.87274000072489,2.0,1.7597401271329391,1.785993572189304,1.7853553469426144
2.0288400942960586e+32,13982.01468031723,86312537712.3257,39.933432641423174,1.8025694755609578,False,34.87271599692839,2.0,1.7341525469966477,1.7601788602415103,1.759292606451272
2.029323182531262e+32,13866.107580125054,87771993329.64769,39.93378816703554,1.7876414878741171,False,34.872700011018644,2.0,1.7084462284233701,1.7342553614542207,1.7331488913515243
2.0297964376188274e+32,13751.262903382496,89254589384.74457,39.93411312142825,1.772703796361548,False,34.87267639983887,2.0,1.682784312340185,1.708374013447139,1.7070451339167374
2.0303180133321788e+32,13637.358482066737,90763451782.62952,39.93445532730502,1.7577691589527744,False,34.872660650246836,2.0,1.6571108474955722,1.682478618004528,1.680924888500622
2.030850822629253e+32,13524.36587880912,92298506288.88882,39.93480590504003,1.7428454638766888,False,34.872650497741816,2.0,1.6314411802098316,1.6565844445346523,1.6548033497040604
